m_Ap [eV],\epsilon
1e-17,2.0
1.1097524964120698e-17,2.0
1.2315506032928212e-17,2.0
1.3667163564620101e-17,2.0
1.516716888470924e-17,2.0
1.683180353330955e-17,2.0
1.867913599020777e-17,2.0
2.0729217795953783e-17,2.0
2.3004301197729217e-17,2.0
2.5529080682395166e-17,2.0
2.833096101839318e-17,2.0
3.144035471591513e-17,2.0
3.489101213406781e-17,2.0
3.872038781812557e-17,2.0
4.297004704320835e-17,2.0
4.7686116977144546e-17,2.0
5.2919787359584583e-17,2.0
5.872786613189489e-17,2.0
6.51733960488242e-17,2.0
7.232633896483519e-17,2.0
8.026433522257207e-17,2.0
8.907354638610458e-17,2.0
9.884959046625586e-17,2.0
1.0969857978923818e-16,2.0
1.2173827277396621e-16,2.0
1.350993521198025e-16,2.0
1.499268432786047e-16,2.0
1.6638168860761275e-16,2.0
1.8464249428955463e-16,2.0
2.049074689815846e-16,2.0
2.273965752357932e-16,2.0
2.5235391704347656e-16,2.0
2.800503894183625e-16,2.0
3.107866187782014e-16,2.0
3.4489622604057526e-16,2.0
3.827494478516315e-16,2.0
4.2475715525368943e-16,2.0
4.713753134116729e-16,2.0
5.231099308056258e-16,2.0
5.805225516094908e-16,2.0
6.442363508721371e-16,2.0
7.149428986597592e-16,2.0
7.934096665797492e-16,2.0
8.804883581643482e-16,2.0
9.7712415353465e-16,2.0
1.0843659686896086e-15,2.0
1.2033778407775905e-15,2.0
1.3354515629298974e-15,2.0
1.4820207057988602e-15,2.0
1.6446761779946628e-15,2.0
1.825183494319046e-15,2.0
2.0255019392306665e-15,2.0
2.24780583354873e-15,2.0
2.4945081352303165e-15,2.0
2.7682866303920608e-15,2.0
3.0721129988617593e-15,2.0
3.4092850697468213e-15,2.0
3.7834626171319326e-15,2.0
4.1987070844439056e-15,2.0
4.659525668664687e-15,2.0
5.1709202428967556e-15,2.0
5.738441648302404e-15,2.0
6.3682499447185866e-15,2.0
7.067181273927477e-15,2.0
7.842822061337682e-15,2.0
8.703591361485184e-15,2.0
9.658832241158708e-15,2.0
1.0718913192051265e-14,2.401562069108829e-12
1.1895340673703208e-14,1.0975357170866916e-12
1.3200884008314168e-14,6.064313562299916e-13
1.464971398307288e-14,3.7228804822171517e-13
1.6257556664437935e-14,2.4710421500013344e-13
1.804186409392068e-14,1.742020549002448e-13
2.0022003718155844e-14,1.2873703098620544e-13
2.2219468609395283e-14,9.873389917133532e-14
2.465811075822604e-14,7.797996128418902e-14
2.7364399970746664e-14,6.304903352998438e-14
3.036771118035461e-14,5.377334079052237e-14
3.370064329271925e-14,4.6354186195303125e-14
3.739937302478801e-14,4.0230918022756556e-14
4.1504047578504724e-14,3.501122479436243e-14
4.605922041145113e-14,3.054778979168558e-14
5.1114334834401654e-14,2.672273903767258e-14
5.672426068491989e-14,2.3437678289146518e-14
6.294988990221888e-14,2.0610313207258975e-14
6.985879746785235e-14,1.8171681156199256e-14
7.752597488629465e-14,1.6063879766675153e-14
8.603464416684527e-14,1.4238199700190226e-14
