m_Ap [eV],\epsilon
1e-17,2.0
1.0233165783302449e-17,2.0
1.0471768194855203e-17,2.0
1.0715933998226712e-17,2.0
1.0965792912678098e-17,2.0
1.1221477682079803e-17,2.0
1.148312414543511e-17,2.0
1.1750871309048075e-17,2.0
1.2024861420374122e-17,2.0
1.2305240043592616e-17,2.0
1.2592156136941509e-17,2.0
1.288576213185518e-17,2.0
1.3186214013947485e-17,2.0
1.3493671405883066e-17,2.0
1.3808297652180923e-17,2.0
1.4130259905995335e-17,2.0
1.4459729217920196e-17,2.0
1.4796880626863963e-17,2.0
1.514189325304352e-17,2.0
1.5494950393146316e-17,2.0
1.585623961771137e-17,2.0
1.622595287078087e-17,2.0
1.6604286571875297e-17,2.0
1.699144172034626e-17,2.0
1.7387624002162504e-17,2.0
1.7793043899185774e-17,2.0
1.8207916800994626e-17,2.0
1.8632463119315598e-17,2.0
1.906690840512252e-17,2.0
1.9511483468466164e-17,2.0
1.9966424501097934e-17,2.0
2.0431973201952705e-17,2.0
2.09083769055575e-17,2.0
2.1395888713434215e-17,2.0
2.1894767628566207e-17,2.0
2.240527869300018e-17,2.0
2.2927693128656487e-17,2.0
2.3462288481422624e-17,2.0
2.4009348768606518e-17,2.0
2.4569164629827902e-17,2.0
2.5142033481427967e-17,2.0
2.572825967447932e-17,2.0
2.63281546564802e-17,2.0
2.6942037136818824e-17,2.0
2.7570233256095825e-17,2.0
2.821307675939471e-17,2.0
2.8870909173592346e-17,2.0
2.9544079988803796e-17,2.0
3.023294684405776e-17,2.0
3.0937875717301364e-17,2.0
3.165924111983521e-17,2.0
3.2397426295281955e-17,2.0
3.315282342319423e-17,2.0
3.392583382740992e-17,2.0
3.471686818926559e-17,2.0
3.5526346765781394e-17,2.0
3.6354699612933175e-17,2.0
3.720236681413066e-17,2.0
3.806979871402284e-17,2.0
3.895745615775501e-17,2.0
3.9865810735804386e-17,2.0
4.079534503452449e-17,2.0
4.174655289253135e-17,2.0
4.271993966306777e-17,2.0
4.371602248248502e-17,2.0
4.4735330544984634e-17,2.0
4.577840538376616e-17,2.0
4.6845801158730455e-17,2.0
4.793808495089107e-17,2.0
4.905583706365045e-17,2.0
5.0199651331100795e-17,2.0
5.1370135433513386e-17,2.0
5.256791122018419e-17,2.0
5.379361503980698e-17,2.0
5.504789807854968e-17,2.0
5.633142670601352e-17,2.0
5.764488282925873e-17,2.0
5.898896425508493e-17,2.0
6.036438506075864e-17,2.0
6.177187597338489e-17,2.0
6.321218475812448e-17,2.0
6.468607661546321e-17,2.0
6.619433458774388e-17,2.0
6.773775997517745e-17,2.0
6.931717276155401e-17,2.0
7.093341204987989e-17,2.0
7.258733650817245e-17,2.0
7.427982482564911e-17,2.0
7.601177617955322e-17,2.0
7.778411071286482e-17,2.0
7.959777002314977e-17,2.0
8.145371766280736e-17,2.0
8.335293965098187e-17,2.0
8.529644499741017e-17,2.0
8.72852662384837e-17,2.0
8.932045998580959e-17,2.0
9.140310748756223e-17,2.0
9.353431520292377e-17,2.0
9.571521538991855e-17,2.0
9.794696670695385e-17,2.0
1.0023075482838643e-16,2.0
1.0256779307444209e-16,2.0
1.0495932305582266e-16,2.0
1.0740661533334323e-16,2.0
1.099109700929496e-16,2.0
1.124737178364751e-16,2.0
1.1509622008850312e-16,2.0
1.177798701197118e-16,2.0
1.2052609368708415e-16,2.0
1.2333634979137747e-16,2.0
1.2621213145225461e-16,2.0
1.2915496650148827e-16,2.0
1.3216641839466038e-16,2.0
1.352480870417874e-16,2.0
1.3840160965731303e-16,2.0
1.4162866162991974e-16,2.0
1.4493095741262152e-16,2.0
1.483102514336103e-16,2.0
1.5176833902834038e-16,2.0
1.5530705739334585e-16,2.0
1.5892828656229765e-16,2.0
1.6263395040481906e-16,2.0
1.6642601764859019e-16,2.0
1.7030650292528427e-16,2.0
1.7427746784089173e-16,2.0
1.7834102207100062e-16,2.0
1.8249932448161505e-16,2.0
1.867545842761074e-16,2.0
1.9110906216891358e-16,2.0
1.955650715865947e-16,2.0
2.001249798969035e-16,2.0
2.0479120966650834e-16,2.0
2.095662399480431e-16,2.0
2.1445260759716652e-16,2.0
2.1945290862033115e-16,2.0
2.2456979955397716e-16,2.0
2.2980599887588486e-16,2.0
2.351642884494346e-16,2.0
2.4064751500154215e-16,2.0
2.4625859163505444e-16,2.0
2.5200049937640897e-16,2.0
2.5787628875937984e-16,2.0
2.6388908144575076e-16,2.0
2.70042071883777e-16,2.0
2.763385290053167e-16,2.0
2.827817979625338e-16,2.0
2.8937530190509474e-16,2.0
2.9612254379880313e-16,2.0
3.030271082866393e-16,2.0
3.1009266359319234e-16,2.0
3.173229634734973e-16,2.0
3.2472184920731257e-16,2.0
3.3229325163989685e-16,2.0
3.400411932703703e-16,2.0
3.479697903887688e-16,2.0
3.560832552629274e-16,2.0
3.6438589837635405e-16,2.0
3.7288213071828297e-16,2.0
3.8157646612712444e-16,2.0
3.904735236885556e-16,2.0
3.9957803018952653e-16,2.0
4.088948226294856e-16,2.0
4.184288507901576e-16,2.0
